1##1	سمو اله رحم رحم
42##27	بسط اله رزق عبد بغی ارض نزل قدر شیا عبد خبر بصر
42##28	نزل غیث بعد قنط نشر رحم ولی حمد
42##29	ایی خلق سمو ارض بثث دبب جمع شیا قدر
42##30	صوب صوب كسب یدی عفو كثر
42##31	عجز ارض دون اله ولی نصر
42##32	ایی جری بحر علم
42##33	شیا سكن روح ظلل ركد ظهر ایی كلل صبر شكر
42##34	وبق كسب عفو كثر
42##35	علم جدل ایی حیص
42##36	اتی شیا متع حیی دنو عند اله خیر بقی امن ربب وكل
42##37	جنب كبر اثم فحش غضب غفر
42##38	جوب ربب قوم صلو امر شور بین رزق نفق
42##39	صوب بغی نصر
42##40	جزی سوا سوا مثل عفو صلح اجر اله حبب ظلم
42##41	نصر بعد ظلم سبل
42##42	سبل ظلم نوس بغی ارض غیر حقق عذب الم
42##43	صبر غفر عزم امر
42##44	ضلل اله ولی بعد رای ظلم رای عذب قول ردد سبل
42##45	رای عرض خشع ذلل نظر طرف خفی قول امن خسر خسر نفس اهل یوم قوم ظلم عذب قوم
42##46	كون ولی نصر دون اله ضلل اله سبل
42##47	جوب ربب قبل اتی یوم ردد اله لجا نكر
42##48	عرض رسل حفظ بلغ ذوق انس رحم فرح صوب سوا قدم یدی انس كفر
42##49	اله ملك سمو ارض خلق شیا وهب شیا انث وهب شیا ذكر
42##50	زوج ذكر انث جعل شیا عقم علم قدر
42##51	كون بشر كلم اله وحی وری حجب رسل رسل وحی اذن شیا علو حكم
42##52	وحی روح امر كون دری كتب امن جعل نور هدی شیا عبد هدی صرط قوم
42##53	صرط اله سمو ارض اله صیر امر
43##1	حمٓ
43##2	كتب بین
43##3	جعل قرا عرب عقل
43##4	امم كتب علو حكم
43##5	ضرب ذكر صفح كون قوم سرف
43##6	رسل نبا اول
43##7	اتی نبا كون هزا
43##8	هلك شدد بطش مضی مثل اول
43##9	سال خلق سمو ارض قول خلق عزز علم
43##10	جعل ارض مهد جعل سبل هدی
43##11	نزل سمو موه قدر نشر بلد موت خرج
43##12	خلق زوج كلل جعل فلك نعم ركب
43##13	سوی ظهر ذكر نعم ربب سوی قول سبح سخر كون قرن
43##14	ربب قلب
43##15	جعل عبد جزا انس كفر بین
43##16	اخذ خلق بنی صفو بنی
43##17	بشر احد ضرب رحم مثل ظلل وجه سود كظم
43##18	نشا حلی خصم غیر بین
43##19	جعل ملك عبد رحم انث شهد خلق كتب شهد سال
43##20	قول شیا رحم عبد علم خرص
43##21	اتی كتب قبل مسك
43##22	قول وجد ابو امم اثر هدی
43##23	رسل قبل قری نذر قول ترف وجد ابو امم اثر قدو
43##24	قول جیا هدی وجد ابو قول رسل كفر
43##25	نقم نظر كیف كون عقب كذب
43##26	قول ابو قوم برا عبد
43##27	فطر هدی
43##28	جعل كلم بقی عقب رجع
43##29	متع ابو جیا حقق رسل بین
43##30	جیا حقق قول سحر كفر
43##31	قول نزل قرا رجل قری عظم
43##32	قسم رحم ربب قسم بین عیش حیی دنو رفع بعض فوق بعض درج اخذ بعض بعض سخر رحم ربب خیر جمع
43##33	كون نوس امم وحد جعل كفر رحم بیت سقف فضض عرج ظهر
43##34	بیت بوب سرر وكا
43##35	زخرف كلل متع حیی دنو اخر عند ربب وقی
43##36	عشو ذكر رحم قیض شطن قرن
43##37	صدد سبل حسب هدی
43##38	جیا قول بین بین بعد شرق باس قرن
43##39	نفع یوم ظلم عذب شرك
43##40	سمع صمم هدی عمی كون ضلل بین
43##41	ذهب نقم
43##42	رای وعد قدر
43##43	مسك وحی صرط قوم
43##44	ذكر قوم سال
43##45	سال رسل قبل رسل جعل دون رحم اله عبد
43##46	رسل ایی ملا قول رسل ربب علم
43##47	جیا ایی ضحك
43##48	رای ایی كبر اخو اخذ عذب رجع
43##49	قول سحر دعو ربب عهد عند هدی
43##50	كشف عذب نكث
43##51	ندو قوم قول قوم لیس ملك مصر نهر جری تحت بصر
43##52	خیر مهن كود بین
43##53	لقی سور ذهب جیا ملك قرن
43##54	خفف قوم طوع كون قوم فسق
43##55	اسف نقم غرق جمع
43##56	جعل سلف مثل اخر
43##57	ضرب بنی مثل قوم صدد
43##58	قول اله خیر ضرب جدل قوم خصم
43##59	عبد نعم جعل مثل بنی
43##60	شیا جعل ملك ارض خلف
43##61	علم سوع مری تبع صرط قوم
43##62	صدد شطن عدو بین
43##63	جیا بین قول جیا حكم بین بعض خلف وقی اله طوع
43##64	اله ربب ربب عبد صرط قوم
43##65	خلف حزب بین ظلم عذب یوم الم
43##66	نظر سوع اتی بغت شعر
43##67	خلل بعض بعض عدو وقی
43##68	عبد خوف یوم حزن
43##69	امن ایی كون سلم
43##70	دخل جنن زوج حبر
43##71	طوف صحف ذهب كوب شهو نفس لذذ عین خلد
43##72	جنن ورث كون عمل
43##73	فكه كثر اكل
43##74	جرم عذب خلد
43##75	فتر بلس
43##76	ظلم كون ظلم
43##77	ندو ملك قضی ربب قول مكث
43##78	جیا حقق كثر حقق كره
43##79	برم امر برم
43##80	حسب سمع سرر نجو رسل كتب
43##81	قول كون رحم ولد اول عبد
43##82	سبح ربب سمو ارض ربب عرش وصف
43##83	وذر خوض لعب لقی یوم وعد
43##84	سمو اله ارض اله حكم علم
43##85	برك ملك سمو ارض بین عند علم سوع رجع
43##86	ملك دعو دون شفع شهد حقق علم
43##87	سال خلق قول اله انی افك
43##88	قول ربب قوم امن
43##89	صفح قول سلم علم
44##1	حمٓ
44##2	كتب بین
44##3	نزل لیل برك كون نذر
44##4	فرق كلل امر حكم
44##5	امر عند كون رسل
44##6	رحم ربب سمع علم
44##7	ربب سمو ارض بین كون یقن
44##8	اله حیی موت ربب ربب ابو اول
44##9	شكك لعب
44##10	رقب یوم اتی سمو دخن بین
44##11	غشو نوس عذب الم
44##12	ربب كشف عذب امن
44##13	انی ذكر جیا رسل بین
44##14	ولی قول علم جنن
44##15	كشف عذب قلل عود
44##16	یوم بطش بطش كبر نقم
44##17	فتن قبل قوم جیا رسل كرم
44##18	ادی عبد اله رسل امن
44##19	علو اله اتی سلط بین
44##20	عوذ ربب ربب رجم
44##21	امن عزل
44##22	دعو ربب قوم جرم
44##23	سری عبد لیل تبع
44##24	ترك بحر رهو جند غرق
44##25	ترك جنن عین
44##26	زرع قوم كرم
44##27	نعم كون فكه
44##28	ورث قوم اخر
44##29	بكی سمو ارض كون نظر
44##30	نجو بنی عذب هون
44##31	كون علو سرف
44##32	خیر علم علم
44##33	اتی ایی بلو بین
44##34	قول
44##35	موت اول نشر
44##36	اتی ابو كون صدق
44##37	خیر قوم قبل هلك كون جرم
44##38	خلق سمو ارض بین لعب
44##39	خلق حقق كثر علم
44##40	یوم فصل وقت جمع
44##41	یوم غنی ولی ولی شیا نصر
44##42	رحم اله عزز رحم
44##43	شجر زقم
44##44	طعم اثم
44##45	مهل غلی بطن
44##46	غلی حمم
44##47	اخذ عتل سوی جحم
44##48	صبب فوق راس عذب حمم
44##49	ذوق عزز كرم
44##50	كون مری
44##51	وقی قوم امن
44##52	جنن عین
44##53	لبس قبل
44##54	زوج حور عین
44##55	دعو كلل فكه امن
44##56	ذوق موت موت اول وقی عذب جحم
44##57	فضل ربب فوز عظم
44##58	یسر لسن ذكر
44##59	رقب رقب
45##1	حمٓ
45##2	نزل كتب اله عزز حكم
45##3	سمو ارض ایی امن
45##4	خلق بثث دبب ایی قوم یقن
45##5	خلف لیل نهر نزل اله سمو رزق حیی ارض بعد موت صرف روح ایی قوم عقل
45##6	ایی اله تلو حقق حدث بعد اله ایی امن
45##7	كلل افك اثم
45##8	سمع ایی اله تلو صرر كبر سمع بشر عذب الم
45##9	علم ایی شیا اخذ هزا عذب هون
45##10	وری غنی كسب شیا اخذ دون اله ولی عذب عظم
45##11	هدی كفر ایی ربب عذب رجز الم
45##12	اله سخر بحر جری فلك امر بغی فضل شكر
45##13	سخر سمو ارض جمع ایی قوم فكر
45##14	قول امن غفر رجو یوم اله جزی قوم كون كسب
45##15	عمل صلح نفس سوا ربب رجع
45##16	اتی بنی كتب حكم نبا رزق طیب فضل علم
45##17	اتی بین امر خلف بعد جیا علم بغی بین ربب قضی بین یوم قوم كون خلف
45##18	جعل شرع امر تبع تبع هوی علم
45##19	غنی اله شیا ظلم بعض ولی بعض اله ولی وقی
45##20	بصر نوس هدی رحم قوم یقن
45##21	حسب جرح سوا جعل امن عمل صلح سوی حیی موت سوا حكم
45##22	خلق اله سمو ارض حقق جزی كلل نفس كسب ظلم
45##23	رای اخذ اله هوی ضلل اله علم ختم سمع قلب جعل بصر غشو هدی بعد اله ذكر
45##24	قول حیی دنو موت حیی هلك دهر علم ظنن
45##25	تلو ایی بین كون حجج قول اتی ابو كون صدق
45##26	قول اله حیی موت جمع یوم قوم ریب كثر نوس علم
45##27	اله ملك سمو ارض یوم قوم سوع خسر بطل
45##28	رای كلل امم جثو كلل امم دعو كتب یوم جزی كون عمل
45##29	كتب نطق حقق كون نسخ كون عمل
45##30	امن عمل صلح دخل ربب رحم فوز بین
45##31	كفر كون ایی تلو كبر كون قوم جرم
45##32	قول وعد اله حقق سوع ریب قول دری سوع ظنن ظنن یقن
45##33	بدو سوا عمل حیق كون هزا
45##34	قول یوم نسی نسی لقی یوم اوی نور نصر
45##35	اخذ ایی اله هزا غرر حیی دنو یوم خرج عتب
45##36	اله حمد ربب سمو ربب ارض ربب علم
45##37	كبر سمو ارض عزز حكم
46##1	حمٓ
46##2	نزل كتب اله عزز حكم
46##3	خلق سمو ارض بین حقق اجل سمو كفر نذر عرض
46##4	قول رای دعو دون اله رای خلق ارض شرك سمو اتی كتب قبل اثر علم كون صدق
46##5	ضلل دعو دون اله جوب یوم قوم دعو غفل
46##6	حشر نوس كون عدو كون عبد كفر
46##7	تلو ایی بین قول كفر حقق جیا سحر بین
46##8	قول فری قول فری ملك اله شیا علم فیض كفی شهد بین بین غفر رحم
46##9	قول كون بدع رسل دری فعل تبع وحی نذر بین
46##10	قول رای كون عند اله كفر شهد شهد بنی مثل امن كبر اله هدی قوم ظلم
46##11	قول كفر امن كون خیر سبق هدی قول افك قدم
46##12	قبل كتب امم رحم كتب صدق لسن عرب نذر ظلم بشر حسن
46##13	قول ربب اله قوم خوف حزن
46##14	صحب جنن خلد جزی كون عمل
46##15	وصی انس ولد حسن حمل امم كره وضع كره حمل فصل ثلث شهر بلغ شدد بلغ ربع سنو قول ربب وزع شكر نعم نعم ولد عمل صلح رضو صلح ذرر توب سلم
46##16	قبل حسن عمل جوز سوا صحب جنن وعد صدق كون وعد
46##17	قول ولد افف وعد خرج خلو قرن قبل غوث اله امن وعد اله حقق قول سطر اول
46##18	حقق قول امم خلو قبل جنن انس كون خسر
46##19	كلل درج عمل وفی عمل ظلم
46##20	یوم عرض كفر نور ذهب طیب حیی دنو متع یوم جزی عذب هون كون كبر ارض غیر حقق كون فسق
46##21	ذكر اخو عود نذر قوم حقف خلو نذر بین یدی خلف عبد اله خوف عذب یوم عظم
46##22	قول جیا افك اله اتی وعد كون صدق
46##23	قول علم عند اله بلغ رسل رای قوم جهل
46##24	رای عرض قبل ودی قول عرض مطر عجل روح عذب الم
46##25	دمر كلل شیا امر ربب صبح رای سكن جزی قوم جرم
46##26	مكن مكن جعل سمع بصر فاد غنی سمع بصر فاد شیا كون جحد ایی اله حیق كون هزا
46##27	هلك حول قری صرف ایی رجع
46##28	نصر اخذ دون اله قرب اله ضلل افك كون فری
46##29	صرف نفر جنن سمع قرا حضر قول نصت قضی ولی قوم نذر
46##30	قول قوم سمع كتب نزل بعد صدق بین یدی هدی حقق طرق قوم
46##31	قوم جوب دعو اله امن غفر ذنب جور عذب الم
46##32	جوب دعو اله لیس عجز ارض لیس دون ولی ضلل بین
46##33	رای اله خلق سمو ارض عیی خلق قدر حیی موت كلل شیا قدر
46##34	یوم عرض كفر نور لیس حقق قول ربب قول ذوق عذب كون كفر
46##35	صبر صبر اول عزم رسل عجل یوم رای وعد لبث سوع نهر بلغ هلك قوم فسق
