,Finglish,Persian
50,chera hamash az man miporsid doroost ast ke khaneye ma moshref ast vali man ke dam be daghigheh paye balkoon nistam.,چرا همش از من می پرسین؟درسته که خونه ما مشرفه،ولی من که دم به دقیقه پای بالکن نیستم
755,kodaam mard be rang mooye maadarash tavajoh mikonad?,کدوم مرد به رنگ موی مادرش توجه می کنه
1882,maa alaan tooye aamrikaaye jonoobi hastim.,ما الان تو آمریکای جنوبی هستیم
1116,baayad sarzaminaaye door oftaade ro kashf konam.,باید سرزمینای دور افتاده رو کشف کنم
153,baraye khandan shoroot bar rooye yek gooshiy motavasset.,برای خواندن شروط برروی یک گوشی متوسط
1920,man esmam farmooshe. rishash mishe faraamoosh yani mooshi faraa tar az yek moosh.,من اسمم فرموشه. ریشه اش میشه فراموش یعنی موشی فراتر از یک موش.
899,baazaar baraaye 2 kiloo shirini va yek goldaan,بازار؟ برا دو کیلو شیرینی و یه گلدون!
544,trump gofte ast bensalman bishtar az man az jenaayat nefrat daarad.,ترامپ گفته بن سلمان بیشتر از من از جنایت نفرت دارد
1151,faghat sahaame khod raa forookhtand.,فقط سهام خود را فروختند
48,mikhan ghahve khaneh bokounandash.,ميخان قهوه خونه بکننش
751,badesh bordamesh be panaahgaah,.بعدش بردمش به پناهگاه
1301,zibaayaan nemitavaanand khod raa bepooshaanand. zibaayi noor ast va penhaan nemimaanad.,زیبایان نمیتوانند خود را بپوشانند.زیبایی نور است و پنهان نمیماند
1797,vojood nadaare ke peydaa koni.,وجود نداره که پیدا کنی
1491,"chi, masale sen ro migi?",چی ، مسئله سن رو میگی؟
1548,nemidoone maa avazesh kardim.,نمی دونه ما عوضش کردیم
41,omid behtar ast behesh begouim yek nafar parandeh ra gereft chetoure?,امید،بهتره بهش بگیم یه نفر پرنده رو گرفت،چطوره؟
34,intouri ham digar ra seda mizanim.,اینطوری همدیگه رو صدا بزنیم
116,maryam dast o panjey tou ro bayad tala gereft.,مریم،دست و پنجه تو باید طلا گرفت
1277,paadeshaah dar haali ke mashghoole asb savaari bood raah raa gom kard va vaared jangale anboohi shod.,پادشاه در حالی که مشغول اسب سواری بود راه را گم کرد و وارد جنگل انبوهی شد
306,niloufar geryan kheily khoube.,نیلوفر گریان:خیلی خوبه
1686,roozi ke amalash kardam maamaanam tak o tanhaa in khaanom ro jaa be jaa kard va kamaresh dard gereft.,روزی که عملش کردن مامانم تک وتنها این خانم رو جابه جا کرد و کمرش درد گرفت
848,chand rooz ast resideand aazar khaanom,چند روزه رسیدن اذر خانم؟
1847,baa in haal tasire khod raa migzaasht.,بااینحال تأثیر خود را میگذاشت
429,ama lazem ast ester ha ra bebakhshim.,اما لازم است هیپسترها را ببخشیم
162,oh man ham az ou mikham.,اوه منم از اون ميخوام
1775,man mikhaam ye chizi begam.,من می خوام یه چیزی بگم
168,eynak inha ro bash.,عینک اینا رو باش
1427,age mishe piyaade berim too raah behetoon migam manam ghabool kardam.,اگه میشه پیاده بریم تو راه بهتون میگم منم قبول کردم
715,che ghadr darham va barham shod maloom nist chi be chi ast,چقد درهم وبرهم شد،معلوم نیست چی به چیه
1222,khoone moon mibarim oonjaa.,خونه مون می بریم اونجا
346,amalkard e behtary khahid dasht va garm va shayesteh dide misahvid.,عملکرد بهتری خواهید داشت، و گرم و شایسته دیده میشوید
1872,aali shod. az in be bad mano jozi az khaanevaade khodetoon bedoonin khandeye vahshatnaaki mikonad.,عالی شد. از این به بعد منو جزعی از خانواده خودتون بدونید خنده وحشتناکی می کند
330,ma shady e to ra nadozdideim.,ما شادي تو رو ندزديديم
1195,beheshoon saabet mishe ke doroogh nagoftam.,بهشون ثابت میشه که دروغ نگفتم
1644,injaa chekaar mikonid?,اینجا چه کار می کنید؟
1659,khodet hich nazari nadari?,خودت هیچ نظری نداری ؟
305,oon goft barayash hame chiz  dar mord e in noghat tamas bood.,او گفت برایش همه چیز در مورد این نقاط تماس بود
1118,maashine ideaalam vizheye panjshanbehaayi ke miram sare kaar va baghiye tatil hastan.,ماشین ایدهآلم ویژهی پنجشنبههایی که میرم سرکار و بقیه تعطیل هستن
485,man orze ye in kar ra nadaram.,من عرضه اين کارو ندارم
232,ozr mikham bayad beram.,عذر ميخواهم،بايد برم
1294,man ghol midam oon hayoolaa ro zende begiram va biyaaram.,من قول میدم اون هیولا رو زنده بگیرم و بیارم
1163,dar nahhayat aakharin halgheye in paazel takmil shode.,درنهایت آخرین حلقه این پازل تکمیلشده
517,agar tebgh e ghanoon pish beravim.,اگه طبق قانون پيش بريم
826,khob 5 saal injaa boodi,تو پنج سال اينجا بودي
788,taa ghabl az in ke hame chiz kharaab beshavad behtar ast yek fekr aaghelaane bokonim,تا قبل اینکه همه چیز خراب بشه بهتره یه فکر عاقلانه بکنیم.
904,che ghadr javaab daadan be ketaab haaye maghta dabestaan saade shode,چقدر جواب دادن به كتاباى مقطع دبستان ساده شده
1391,"serfe pool dar aavardan nist, balke eslaahaat dat mohite zist va ejtemaa ast.",صرف پول درآوردن نیست، بلکه اصلاحات در محیط زیست و اجتماع است
914,che tor che tor taghsir to ast?,چطور؟ چطور تقصير توئه؟
1893,va in badtarin tajrobeye kaari dar zendegim bood.,و این بدترین تجربه کاری در زندگیم بود
1262,"vaay, injoori khoone toon hedaayat mikonin?",وای،اینجوری خونه تون هدایت می کنین؟
1402,"haalemoon khoobe, mage na?",حالمون خوبه ، مگه نه؟
1596,va baraaye in ke be jahaan neshaan dahim cheghadr gheyre vaaghei ast.,و برای اینکه به جهان نشان دهیم چقدرغیر واقعی است
1718,parvaane miravad. aazaade va parvaane vaared mishavand.,پروانه می رود . ازاده وپروانه وارد می شوند.
1860,baayad roozesho maloom konim.,باید روزشو معلوم کنیم
489,chie etare ye donbale dar.,چيه ستاره دنباله دار؟
1719,shilaa joon mikhaay ye chaay be maa bedi?,شیلا جون می خوای یه چای به ما بدی؟
1511,az hameye raah haaye dige.,از همهی راههای دیگه
794,in tanhaa raahi ast ke mishavad,اين تنها راهيه که ميشه
832,bache haa midonid chie?,بچه ها مي دونين چيه ؟
219,shab bidari o bikhabi aziatet nakouneh.,شب بیداری و بی خوابی اذیتت نکنه
172,tou ke nishet bazeh che toor?,تو که نيشت بازه چطور ؟
1578,kasi raa daasht.,کسی را داشت
1178,yani ghalbet bood. maa ro begoo koli negaraan shodim.,یعنی قلبت نبود. مارو بگو کلی نگرانت شدیم.
1608,nasle azimi az javaanaan dar shorofe be ers bordane donyaaye maa hastand.,نسل عظیمی از جوانان در شرف به ارث بردن دنیای ما هستند
703,rafigham mosesh raa aavard,رفيقمو واسه شام آوردم.
39,ageh gharar boud kharizeh aadi besheh chera zan barayeh shooharash aadi nemishavad.,اگه قرار بود غریزه عادی بشه چرا زن برای شوهرش عادی نمیشه؟
1829,"dirooz ke daashtim miraftim khoone maamaanesh, zang farmoodan va goftan kelide khoone ro biyaar taa baabaat ham khoone ro bebine.",دیروز که داشتیم میرفتیم خونه مامانش،زنگ فرمودن و گفتن کلید خونه رو بیار تا بابات هم خونه رو ببینه،
1172,"too aasemoon monavar mizadan, aksaaye yaadegaari migereftan.",، تو آسمون منور میزدن، عکسای یادگاری میگرفتن
812,dahanetaan raa bebandid,دهنتون رو ببندید
642,be rasti shayad kafsh hyam bara yat nakhoshayand baashad.,پلاستیک کفشهام شاید برات ناخوشایند باشه
1352,"man maashinaaye aabi mishmordam, oonam maashinaaye ghermez.",من ماشینای ابی میشمردم، اونم ماشینای قرمز
164,ye shoar darim behesh migim yeki az akhlaghay khoob man ro begoo migeh age begam porroo mishi.,یه شوهر داریم بهش میگم یکی از اخلاقای خوب من رو بگو،میگه اگه بگم پررو میشی
1406,ke arzesh haaye aanhaa motaabegh baa shomaa nist.,که ارزشهای آنها مطابق با شما نیست
1776,amaa agar vaaghean sakht tar pish beravim?,اما اگر واقعاً سختتر پیش برویم؟
1336,"na, tamoom nist taa vaghti.",نه ، تموم نیست تا وقتی
36,elias agar najounbi babr ha mikhouranat.,الیاس، اگه نجنبی، ببرا می خورنت
943,jame'e yek shekaaf adam ertebaat bist saaleye jadid ijaad karde ast,جامعه یک شکاف عدم ارتباط ۲۰ سالهٔ جدید ایجاد کرده است
1592,nemidoonam. kaaraaye zanoone.,نمی دونم. کارای زنونه
1862,ozr mikhaaham; khaaheshan.,عذر می خواهم؛ خواهشاً
1411,che midoonam. donbaale ghodsi raftan baazaar.,چه میدونم. دنبال قدسی رفتن بازار.
1400,"kheyli khob, hame bidaar beshan.",خیلی خوب، همه بیدار بشن
951,behem ghol bede ke movaazebami,بهم قول بده که مواظبي
1069,"agar idehaaye aali daashte baasham, in ide raa enekaas dahid.",اگر ایدهای عالی داشته باشم، این ایده را انعکاس دهید
586,vali bebinam gonde hastesh?,ولي ببينم ، گنده هستش؟
913,abaasi ehsaas mikonad taghir shode,عباسی احساس می کند تحقیر شده
409,"agar taze vared bashad ya tanh kase ebraz nashode bashad ya faghat dast o pache bashad, in ha tafavot e ziadi dar nahve ye ebraz e eydeh ash eijad mikonad.",اگر کسی تازهوارد باشد یا تنها کس ابراز نشده باشد، یا فقط دست و پاچه باشد، اینها تفاوت زیادی در نحوه ابراز ایدهاش ایجاد خواهند کرد
454,ba majid bara ye shekaf rafte boudam afrigha.,با مجید برا شکار رفته بودم افریقا
1256,oo migooyad avalin amaliyaatash ehdaase yek faaheshe khaane dar aalmaane sharghi bood.,او میگوید اولین عملیاتش احداث یک فاحشهخانه در آلمان شرقی بود
1531,mamooli yaa bedoone kaafein?,معمولی یا بدون کافئین؟
992,paadeshah ke be ghatl resid vazir raa faraa khaand va goft aknoon fahmidam monzoor to az in ke migofti har che rokh midehad be salaah shomast che boode,پادشاه که به قصر رسید وزیر را فراخواند و گفت:اکنون فهمیدم منظور تو از اینکه می گفتی هر چه رخ میدهد به صلاح شماست چه بوده
1314,va dige be televisiyoon tavajohi nakard.,ودیگه به تلویزیون توجهی نکرد
649,balke vageaan tarsnaak ast.,بلکه واقعاً ترسناک است
624,va edei digar khahand goft ke ravesh ha ye mord e estefade ye aan ha fahesh ast.,و عدهای دیگر خواهند گفت که روشهای مورد استفاده آنها فاحش است
1099,na aaghaa moshkel ast ke aadam aanjaa daakhel shavad digar asb jaaye khod raa daarad.,نه اقا، مشکل است که ادم انجا داخل شود دیگر اسب جای خود را دارد
1571,in haa hame mahaarat haayi ast ke yek keshvar niyaaz daarad.,اینها همه مهارتهایی است که یک کشور نیاز دارد
1201,"in yeki kheyli mohem ast, hampeymaayi raa be revaale aadi tabdil konid.",این یکی خیلی مهم است، همپیمانی را به روال عادی تبدیل کنید
235,khoush halam az in ke hava zoud tar tarik mishe.,خوشحالم از این که هوا زودتر تاریک میشه
38,in bayad kheili sakht basheh.,اين بايد خيلي سخت باشه
981,emshab haal ajibi daaram fardaa mosaaferam bazi haa raa ham gharaar ast bad do saal bebinam,امشب حال عجیبی دارم،فردا مسافرم،بعضیارم قراره بعد دوسال بیینم
